Price,Fuel_Tank_Capacity,Height,Width,City_Mileage,Power,Seating_Capacity
3299599,66,1483,1864,15,177,5
3407407,6,12,212,8,25,2
3677200,64,168,1831,12,148,5
3992200,64,168,1831,12,177,5
4361000,64,168,1831,12,177,5
3496750,64,168,1831,12,15,5
3600000,44,1415,1727,12,192,4
3830000,44,1652,1863,12,19,5
3990000,44,1652,1863,12,19,5
4390000,44,1652,1863,12,19,5
3990000,44,1441,181,12,192,5
4120000,44,1427,1842,12,15,5
4149000,44,1427,1842,12,15,5
4507000,44,1414,1727,12,231,2
4350000,61,1416,185,12,25,5
4498000,56,1416,185,12,18,4
4498000,56,1416,185,12,18,4
4633000,61,1416,185,12,25,5
4633000,74,146,291,5,247,5
5436329,82,1457,1899,5,247,5
6073446,83,1457,1899,5,18,5
6138811,66,1457,291,5,18,5
5506622,66,1457,291,5,18,5
4977080,5,149,1793,19,148,4
5038000,73,1455,1874,19,245,5
5442200,73,1455,1874,19,245,5
5942200,67,1678,1881,16,19,5
5930000,67,1678,1881,16,248,5
5880000,67,1678,1881,16,19,5
8290000,6.9,1391,28,1,41,4
7462000,93.5,182,1943,12,24,5
7882867,93.5,182,1943,12,24,5
8931819,93.5,1749,1954,12,468,5
7711338,52,141,1854,12,41,4
8180000,54,1281,181,9,3,2
8995000,54,1281,181,9,3,2
8690000,87,188,1885,7,173,7
9630000,65,17,1895,18,262,5
11141200,78,1479,2169,13,265,4
12290000,78,1479,2169,13,265,4
13200000,78,1479,2169,13,265,4
25500000,8,1679,2158,5,275,4
14512054,8,1679,2158,5,35,4
14863774,8,1679,2158,5,43,4
15600000,86,1353,1915,4,46,4
17229579,7,1481,1948,5,275,4
19890000,9,1427,1937,7,55,4
21263000,9,1432,1937,7,55,4
22613000,9,1432,1937,7,55,4
21747000,93,1865,198,18,261,7
23491293,75,1252,229,7,61,2
30000000,9,141,2226,5,59,4
33791059,92,132,191,6,56,2
35000000,85,1742,1998,9,68,5
40456503,86,123,1951,6,65,2
499000,35,156,16,23,68,5
426289,35,156,16,23,68,5
465138,35,156,16,23,68,5
508138,35,156,16,23,68,5
490924,35,156,16,23,68,5
530000,35,156,16,23,68,5
533924,35,156,16,23,68,5
434659,35,156,16,23,68,5
472257,35,156,16,23,68,5
515257,35,156,16,23,68,5
543279,43,152,166,24,71,5
551530,43,152,166,24,71,5
568930,43,152,166,18,83,5
460369,43,152,166,18,83,5
528804,35,1655,1735,15,82,6
488194,35,1655,1735,15,82,6
532184,35,1655,1735,22,77,6
590798,35,1655,1735,22,77,6
619243,35,1655,1735,22,77,6
667273,35,1655,1735,15,82,6
579645,35,1655,1735,15,82,6
631144,35,1655,1735,22,77,6
754548,35,1655,1735,15,82,6
693550,35,1655,1735,22,77,6
787304,35,1655,1735,15,82,6
701045,35,1655,1735,22,77,6
794800,35,1655,1735,15,82,5
573250,35,1655,1735,15,82,5
631146,35,1655,1735,15,82,5
687175,35,1655,1735,22,77,5
660832,35,1655,1735,22,77,5
748128,35,1655,1735,22,77,5
780884,35,1655,1735,22,77,5
550155,35,1655,1735,22,77,6
559741,35,1655,1735,15,82,5
524312,35,1655,1735,15,82,6
